INDEX,Bill ID,Title,Sponsor,Last Action,Session,Year,SessionType,BillNum,Bill_Link,filename,sponsor_c
6,HB 35,USE OF FUNDS BY LAND GRANT COUNCIL,"Miguel P. Garcia
Richard C. Martinez",POCKET VETO,2013 Regular,2013,Regular,35,https://www.nmles.gov/Sessions/13%20Regular/final/HB0035.pdf,Yr_13RHB0035.pdf,Richard C. Martinez
7,HB 37,ANNUAL DELINQUENT PROPERTY TAX SALES,"Rodolpho ""Rudy"" S. Martinez",SGND,2013 Regular,2013,Regular,37,https://www.nmles.gov/Sessions/13%20Regular/final/HB0037.pdf,Yr_13RHB0037.pdf,Rodolpho Rudy S. Martinez
8,HB 40,DESIGNATION OF BENEFIT CORPORATIONS,"Zachary J. Cook
Timothy M. Keller",POCKET VETO,2013 Regular,2013,Regular,40,https://www.nmles.gov/Sessions/13%20Regular/final/HB0040.pdf,Yr_13RHB0040.pdf,Zachary J. Cook
8,HB 40,DESIGNATION OF BENEFIT CORPORATIONS,"Zachary J. Cook
Timothy M. Keller",POCKET VETO,2013 Regular,2013,Regular,40,https://www.nmles.gov/Sessions/13%20Regular/final/HB0040.pdf,Yr_13RHB0040.pdf,Timothy M. Keller
9,HB 45,TRANSFER INSURANCE REGULATION FROM PRC,"Thomas C. Taylor
Carroll H. Leavell",SGND,2013 Regular,2013,Regular,45,https://www.nmles.gov/Sessions/13%20Regular/final/HB0045.pdf,Yr_13RHB0045.pdf,Thomas C. Taylor
9,HB 45,TRANSFER INSURANCE REGULATION FROM PRC,"Thomas C. Taylor
Carroll H. Leavell",SGND,2013 Regular,2013,Regular,45,https://www.nmles.gov/Sessions/13%20Regular/final/HB0045.pdf,Yr_13RHB0045.pdf,Carroll H. Leavell
10,HB 46,TRANSFER CORPORATIONS FROM PRC TO SOS,"Thomas C. Taylor
Timothy M. Keller",SGND,2013 Regular,2013,Regular,46,https://www.nmles.gov/Sessions/13%20Regular/final/HB0046.pdf,Yr_13RHB0046.pdf,Thomas C. Taylor
10,HB 46,TRANSFER CORPORATIONS FROM PRC TO SOS,"Thomas C. Taylor
Timothy M. Keller",SGND,2013 Regular,2013,Regular,46,https://www.nmles.gov/Sessions/13%20Regular/final/HB0046.pdf,Yr_13RHB0046.pdf,Timothy M. Keller
11,HB 51,SUMMER SCHOOL ELECTIVE CIVICS CLASSES,Sheryl Williams Stapleton,POCKET VETO,2013 Regular,2013,Regular,51,https://www.nmles.gov/Sessions/13%20Regular/final/HB0051.pdf,Yr_13RHB0051.pdf,Sheryl Williams Stapleton
12,HB 53,TEACHER LOAN REPAYMENT ACT,Sheryl Williams Stapleton,SGND,2013 Regular,2013,Regular,53,https://www.nmles.gov/Sessions/13%20Regular/final/HB0053.pdf,Yr_13RHB0053.pdf,Sheryl Williams Stapleton
13,HB 54,SCHOOL BOARD CYBERBULLYING PREVENTION,Sheryl Williams Stapleton,SGND,2013 Regular,2013,Regular,54,https://www.nmles.gov/Sessions/13%20Regular/final/HB0054.pdf,Yr_13RHB0054.pdf,Sheryl Williams Stapleton
14,HB 58,RURAL TELECOMM CARRIER REGULATION,Debbie A. Rodella,SGND,2013 Regular,2013,Regular,58,https://www.nmles.gov/Sessions/13%20Regular/final/HB0058.pdf,Yr_13RHB0058.pdf,Debbie A. Rodella
15,HB 61,GAME & FISH SPECIAL EVENT PERMITS,Yvette Herrell,SGND,2013 Regular,2013,Regular,61,https://www.nmles.gov/Sessions/13%20Regular/final/HB0061.pdf,Yr_13RHB0061.pdf,Yvette Herrell
16,HB 62,ELECTRONIC PROFESSIONAL LICENSE RENEWAL,Yvette Herrell,SGND,2013 Regular,2013,Regular,62,https://www.nmles.gov/Sessions/13%20Regular/final/HB0062.pdf,Yr_13RHB0062.pdf,Yvette Herrell
17,HB 70,NMFA PUBLIC PROJECT REVOLVING FUND PROJECTS,Patricia A. Lundstrom,SGND,2013 Regular,2013,Regular,70,https://www.nmles.gov/Sessions/13%20Regular/final/HB0070.pdf,Yr_13RHB0070.pdf,Patricia A. Lundstrom
18,HB 72,COMMERCIAL CAR LEASE ADJUSTMENT CLAUSES,"Roberto ""Bobby"" J. Gonzales",SGND,2013 Regular,2013,Regular,72,https://www.nmles.gov/Sessions/13%20Regular/final/HB0072.pdf,Yr_13RHB0072.pdf,Roberto Bobby J. Gonzales
19,HB 73,CONVENTION CENTER FINANCING ACT TO ALL CITIES,"Roberto ""Bobby"" J. Gonzales",SGND,2013 Regular,2013,Regular,73,https://www.nmles.gov/Sessions/13%20Regular/final/HB0073.pdf,Yr_13RHB0073.pdf,Roberto Bobby J. Gonzales
20,HB 76,FRONTIER COMMUNITIES PROGRAM,Patricia A. Lundstrom,SGND,2013 Regular,2013,Regular,76,https://www.nmles.gov/Sessions/13%20Regular/final/HB0076.pdf,Yr_13RHB0076.pdf,Patricia A. Lundstrom
21,HB 83,DRIVER'S ED INSURANCE REDUCTION AGE,TomÃ¡s E. Salazar,POCKET VETO,2013 Regular,2013,Regular,83,https://www.nmles.gov/Sessions/13%20Regular/final/HB0083.pdf,Yr_13RHB0083.pdf,TomÃ¡s E. Salazar
22,HB 85,GEOTHERMAL RESOURCE LEASING,Brian Egolf,SGND,2013 Regular,2013,Regular,85,https://www.nmles.gov/Sessions/13%20Regular/final/HB0085.pdf,Yr_13RHB0085.pdf,Brian Egolf
23,HB 93,CAMPAIGN FUND TRANSACTION RECORDING,Nathan P. Cote,SGND,2013 Regular,2013,Regular,93,https://www.nmles.gov/Sessions/13%20Regular/final/HB0093.pdf,Yr_13RHB0093.pdf,Nathan P. Cote
24,HB 101,HOISTING OPERATOR LICENSES & PENALTIES,"Rodolpho ""Rudy"" S. Martinez",SGND,2013 Regular,2013,Regular,101,https://www.nmles.gov/Sessions/13%20Regular/final/HB0101.pdf,Yr_13RHB0101.pdf,Rodolpho Rudy S. Martinez
25,HB 104,EXPAND REASONS FOR AMBER ALERT,Kelly K. Fajardo,SGND,2013 Regular,2013,Regular,104,https://www.nmles.gov/Sessions/13%20Regular/final/HB0104.pdf,Yr_13RHB0104.pdf,Kelly K. Fajardo
26,HB 106,INCREASE VALUE OF CITY PROPERTY FOR LEASE,Zachary J. Cook,POCKET VETO,2013 Regular,2013,Regular,106,https://www.nmles.gov/Sessions/13%20Regular/final/HB0106.pdf,Yr_13RHB0106.pdf,Zachary J. Cook
27,HB 107,MUNICIPAL COURT FEES FOR LAW ENFORCEMENT,Stephanie Garcia Richard,SGND,2013 Regular,2013,Regular,107,https://www.nmles.gov/Sessions/13%20Regular/final/HB0107.pdf,Yr_13RHB0107.pdf,Stephanie Garcia Richard
28,HB 112,DATA IN SCHOOL ACCOUNTABILITY REPORTS,Jane E. Powdrell-Culbert,SGND,2013 Regular,2013,Regular,112,https://www.nmles.gov/Sessions/13%20Regular/final/HB0112.pdf,Yr_13RHB0112.pdf,Jane E. Powdrell-Culbert
29,HB 120,LOCOMOTIVE FUEL GROSS RECEIPTS,Patricia A. Lundstrom,SGND,2013 Regular,2013,Regular,120,https://www.nmles.gov/Sessions/13%20Regular/final/HB0120.pdf,Yr_13RHB0120.pdf,Patricia A. Lundstrom
30,HB 130,MOVE BRAIN INJURY SERVICE FUND,Larry A. LarraÃ±aga,SGND,2013 Regular,2013,Regular,130,https://www.nmles.gov/Sessions/13%20Regular/final/HB0130.pdf,Yr_13RHB0130.pdf,Larry A. LarraÃ±aga
31,HB 131,SILVER ALERT FOR ENDANGERED PERSONS,Paul A. Pacheco,SGND,2013 Regular,2013,Regular,131,https://www.nmles.gov/Sessions/13%20Regular/final/HB0131.pdf,Yr_13RHB0131.pdf,Paul A. Pacheco
32,HB 133,DISCLOSURE OF CONTRIBUTIONS BY CONTRACTORS,Gail Chasey,VETO,2013 Regular,2013,Regular,133,https://www.nmles.gov/Sessions/13%20Regular/final/HB0133.pdf,Yr_13RHB0133.pdf,Gail Chasey
33,HB 146,SALE OF METHAMPHETAMINE PRECURSORS,"Antonio ""Moe"" Maestas",VETO,2013 Regular,2013,Regular,146,https://www.nmles.gov/Sessions/13%20Regular/final/HB0146.pdf,Yr_13RHB0146.pdf,Antonio Moe Maestas
34,HB 151,ELECTION OF CERTAIN MAGISTRATE JUDGES,Mary Helen Garcia,SGND,2013 Regular,2013,Regular,151,https://www.nmles.gov/Sessions/13%20Regular/final/HB0151.pdf,Yr_13RHB0151.pdf,Mary Helen Garcia
35,HB 154,REPEAL MEAT LICENSING PROVISIONS,Larry A. LarraÃ±aga,SGND,2013 Regular,2013,Regular,154,https://www.nmles.gov/Sessions/13%20Regular/final/HB0154.pdf,Yr_13RHB0154.pdf,Larry A. LarraÃ±aga
36,HB 155,REPLACEMENT FEES FOR CAR DISABILITY PLACARDS,Miguel P. Garcia,VETO,2013 Regular,2013,Regular,155,https://www.nmles.gov/Sessions/13%20Regular/final/HB0155.pdf,Yr_13RHB0155.pdf,Miguel P. Garcia
37,HB 164,CLARIFY CERTAIN SPEED LIMIT VIOLATIONS,Eliseo Lee Alcon,SGND,2013 Regular,2013,Regular,164,https://www.nmles.gov/Sessions/13%20Regular/final/HB0164.pdf,Yr_13RHB0164.pdf,Eliseo Lee Alcon
38,HB 171,INSURANCE COVERAGE FOR TELEMEDICINE SERVICES,Stephen Easley,POCKET VETO,2013 Regular,2013,Regular,171,https://www.nmles.gov/Sessions/13%20Regular/final/HB0171.pdf,Yr_13RHB0171.pdf,Stephen Easley
39,HB 172,LIMIT TAX CREDIT PAID TO ANOTHER STATE,Jim R. Trujillo,SGND,2013 Regular,2013,Regular,172,https://www.nmles.gov/Sessions/13%20Regular/final/HB0172.pdf,Yr_13RHB0172.pdf,Jim R. Trujillo
40,HB 173,UNIFORM CHILD ABDUCTION PREVENTION ACT,Mimi Stewart,SGND,2013 Regular,2013,Regular,173,https://www.nmles.gov/Sessions/13%20Regular/final/HB0173.pdf,Yr_13RHB0173.pdf,Mimi Stewart
41,HB 175,SUSPENSION OF UTILITIES FOR DEPLOYED MILITARY,Jeff Steinborn,SGND,2013 Regular,2013,Regular,175,https://www.nmles.gov/Sessions/13%20Regular/final/HB0175.pdf,Yr_13RHB0175.pdf,Jeff Steinborn
42,HB 178,ELECTRONIC CRIMINAL CITATIONS & FEES,Emily Kane,SGND,2013 Regular,2013,Regular,178,https://www.nmles.gov/Sessions/13%20Regular/final/HB0178.pdf,Yr_13RHB0178.pdf,Emily Kane
43,HB 180,MILITARY & SPOUSES PROFESSIONAL LICENSURE,"Rodolpho ""Rudy"" S. Martinez",SGND,2013 Regular,2013,Regular,180,https://www.nmles.gov/Sessions/13%20Regular/final/HB0180.pdf,Yr_13RHB0180.pdf,Rodolpho Rudy S. Martinez
44,HB 186,ORYX HUNTING FOR VETERANS AT RESIDENT RATE,Terry H. McMillan,SGND,2013 Regular,2013,Regular,186,https://www.nmles.gov/Sessions/13%20Regular/final/HB0186.pdf,Yr_13RHB0186.pdf,Terry H. McMillan
45,HB 192,SCHOOL PROGRAM UNITS FOR CERTAIN PERSONNEL,Christine Trujillo,VETO,2013 Regular,2013,Regular,192,https://www.nmles.gov/Sessions/13%20Regular/final/HB0192.pdf,Yr_13RHB0192.pdf,Christine Trujillo
46,HB 194,AMEND MOTOR CARRIER LAW ACT,Thomas C. Taylor,SGND,2013 Regular,2013,Regular,194,https://www.nmles.gov/Sessions/13%20Regular/final/HB0194.pdf,Yr_13RHB0194.pdf,Thomas C. Taylor
47,HB 202,UNLAWFUL ACTS FOR CAR DEALERS,Zachary J. Cook,SGND,2013 Regular,2013,Regular,202,https://www.nmles.gov/Sessions/13%20Regular/final/HB0202.pdf,Yr_13RHB0202.pdf,Zachary J. Cook
48,HB 205,CREATE STATE FINANCIAL REGULATION FUND,Jimmie C. Hall,SGND,2013 Regular,2013,Regular,205,https://www.nmles.gov/Sessions/13%20Regular/final/HB0205.pdf,Yr_13RHB0205.pdf,Jimmie C. Hall
49,HB 216,FAIR PAY FOR WOMEN ACT,Brian Egolf,SGND,2013 Regular,2013,Regular,216,https://www.nmles.gov/Sessions/13%20Regular/final/HB0216.pdf,Yr_13RHB0216.pdf,Brian Egolf
50,HB 219,ADEQUATE ELECTION DAY POLLING PLACE STAFF,Nathan P. Cote,SGND,2013 Regular,2013,Regular,219,https://www.nmles.gov/Sessions/13%20Regular/final/HB0219.pdf,Yr_13RHB0219.pdf,Nathan P. Cote
51,HB 225,ELECTRONIC VOTER REGISTRATION UPDATES,"James E. Smith
Timothy M. Keller",SGND,2013 Regular,2013,Regular,225,https://www.nmles.gov/Sessions/13%20Regular/final/HB0225.pdf,Yr_13RHB0225.pdf,James E. Smith
51,HB 225,ELECTRONIC VOTER REGISTRATION UPDATES,"James E. Smith
Timothy M. Keller",SGND,2013 Regular,2013,Regular,225,https://www.nmles.gov/Sessions/13%20Regular/final/HB0225.pdf,Yr_13RHB0225.pdf,Timothy M. Keller
52,HB 227,MOVE BRAIN INJURY ADVISORY COUNCIL FUNCTIONS,Gail Chasey,SGND,2013 Regular,2013,Regular,227,https://www.nmles.gov/Sessions/13%20Regular/final/HB0227.pdf,Yr_13RHB0227.pdf,Gail Chasey
53,HB 232,SCHOOL DISTRICT CAMPAIGN REPORTING ACT,"James E. Smith
Jacob Candelaria",SGND,2013 Regular,2013,Regular,232,https://www.nmles.gov/Sessions/13%20Regular/final/HB0232.pdf,Yr_13RHB0232.pdf,James E. Smith
53,HB 232,SCHOOL DISTRICT CAMPAIGN REPORTING ACT,"James E. Smith
Jacob Candelaria",SGND,2013 Regular,2013,Regular,232,https://www.nmles.gov/Sessions/13%20Regular/final/HB0232.pdf,Yr_13RHB0232.pdf,Jacob Candelaria
54,HB 238,NM CHILE ADVERTISING ACT VIOLATIONS,"Rodolpho ""Rudy"" S. Martinez",SGND,2013 Regular,2013,Regular,238,https://www.nmles.gov/Sessions/13%20Regular/final/HB0238.pdf,Yr_13RHB0238.pdf,Rodolpho Rudy S. Martinez
55,HB 247,MILITARY WAR VETERAN SCHOLARSHIP FUND,"George Dodge, Jr.",SGND,2013 Regular,2013,Regular,247,https://www.nmles.gov/Sessions/13%20Regular/final/HB0247.pdf,Yr_13RHB0247.pdf,George Dodge
55,HB 247,MILITARY WAR VETERAN SCHOLARSHIP FUND,"George Dodge, Jr.",SGND,2013 Regular,2013,Regular,247,https://www.nmles.gov/Sessions/13%20Regular/final/HB0247.pdf,Yr_13RHB0247.pdf, Jr.
56,HB 260,ORIENTAL MEDICINE DOCTOR IMAGING LICENSURE,Emily Kane,POCKET VETO,2013 Regular,2013,Regular,260,https://www.nmles.gov/Sessions/13%20Regular/final/HB0260.pdf,Yr_13RHB0260.pdf,Emily Kane
57,HB 267,UTILITY ENERGY EFFICIENCY & LOAD MANAGEMENT,James R.J. Strickler,SGND,2013 Regular,2013,Regular,267,https://www.nmles.gov/Sessions/13%20Regular/final/HB0267.pdf,Yr_13RHB0267.pdf,James R.J. Strickler
58,HB 273,PUBLIC SCHOOL CAPITAL OUTLAY LEASE PAYMENTS,Sheryl Williams Stapleton,VETO,2013 Regular,2013,Regular,273,https://www.nmles.gov/Sessions/13%20Regular/final/HB0273.pdf,Yr_13RHB0273.pdf,Sheryl Williams Stapleton
59,HB 274,MANUFACTURED HOME COMMITTEE & LICENSING,Zachary J. Cook,SGND,2013 Regular,2013,Regular,274,https://www.nmles.gov/Sessions/13%20Regular/final/HB0274.pdf,Yr_13RHB0274.pdf,Zachary J. Cook
60,HB 275,VOLUNTEER FIREFIGHTER RETIREMENT BENEFITS,Dennis J. Roch,SGND,2013 Regular,2013,Regular,275,https://www.nmles.gov/Sessions/13%20Regular/final/HB0275.pdf,Yr_13RHB0275.pdf,Dennis J. Roch
61,HB 279,SOLAR COLLECTOR RULES FOR PERMITS,Mimi Stewart,SGND,2013 Regular,2013,Regular,279,https://www.nmles.gov/Sessions/13%20Regular/final/HB0279.pdf,Yr_13RHB0279.pdf,Mimi Stewart
62,HB 282,ALBUQUERQUE ISOTOPES LICENSE PLATE,"Antonio ""Moe"" Maestas",POCKET VETO,2013 Regular,2013,Regular,282,https://www.nmles.gov/Sessions/13%20Regular/final/HB0282.pdf,Yr_13RHB0282.pdf,Antonio Moe Maestas
63,HB 299,TAX ADMINISTRATION ACT CHANGES,Thomas C. Taylor,SGND,2013 Regular,2013,Regular,299,https://www.nmles.gov/Sessions/13%20Regular/final/HB0299.pdf,Yr_13RHB0299.pdf,Thomas C. Taylor
64,HB 300,SCHOOL EXCUSED ABSENCES FOR PREGNANCY,Doreen Y. Gallegos,SGND,2013 Regular,2013,Regular,300,https://www.nmles.gov/Sessions/13%20Regular/final/HB0300.pdf,Yr_13RHB0300.pdf,Doreen Y. Gallegos
65,HB 304,HUMAN TRAFFICKING CIVIL REMEDIES & SERVICES,Gail Chasey,SGND,2013 Regular,2013,Regular,304,https://www.nmles.gov/Sessions/13%20Regular/final/HB0304.pdf,Yr_13RHB0304.pdf,Gail Chasey
66,HB 310,K-3 PROGRAM ELIGIBILITY,"Mimi Stewart
William Soules",SGND,2013 Regular,2013,Regular,310,https://www.nmles.gov/Sessions/13%20Regular/final/HB0310.pdf,Yr_13RHB0310.pdf,Mimi Stewart
66,HB 310,K-3 PROGRAM ELIGIBILITY,"Mimi Stewart
William Soules",SGND,2013 Regular,2013,Regular,310,https://www.nmles.gov/Sessions/13%20Regular/final/HB0310.pdf,Yr_13RHB0310.pdf,William Soules
67,HB 315,TAX PAYMENT & MANUFACTURER GROSS RECEIPTS,James R.J. Strickler,SGND,2013 Regular,2013,Regular,315,https://www.nmles.gov/Sessions/13%20Regular/final/HB0315.pdf,Yr_13RHB0315.pdf,James R.J. Strickler
68,HB 327,PHYSICAL EDUCATION CREDIT HOURS FOR FUNDING,"Brian Egolf
Phil A. Griego",POCKET VETO,2013 Regular,2013,Regular,327,https://www.nmles.gov/Sessions/13%20Regular/final/HB0327.pdf,Yr_13RHB0327.pdf,Brian Egolf
68,HB 327,PHYSICAL EDUCATION CREDIT HOURS FOR FUNDING,"Brian Egolf
Phil A. Griego",POCKET VETO,2013 Regular,2013,Regular,327,https://www.nmles.gov/Sessions/13%20Regular/final/HB0327.pdf,Yr_13RHB0327.pdf,Phil A. Griego
69,HB 329,RECOVERY OF CERTAIN UNEMPLOYMENT BENEFITS,Cathrynn N. Brown,SGND,2013 Regular,2013,Regular,329,https://www.nmles.gov/Sessions/13%20Regular/final/HB0329.pdf,Yr_13RHB0329.pdf,Cathrynn N. Brown
70,HB 334,COUNTY CLASSES & OFFICER SALARIES,Bob Wooley,SGND,2013 Regular,2013,Regular,334,https://www.nmles.gov/Sessions/13%20Regular/final/HB0334.pdf,Yr_13RHB0334.pdf,Bob Wooley
71,HB 343,HEALTH GROUP BENEFITS FOR NONPROFITS,"George Dodge, Jr.",POCKET VETO,2013 Regular,2013,Regular,343,https://www.nmles.gov/Sessions/13%20Regular/final/HB0343.pdf,Yr_13RHB0343.pdf,George Dodge
71,HB 343,HEALTH GROUP BENEFITS FOR NONPROFITS,"George Dodge, Jr.",POCKET VETO,2013 Regular,2013,Regular,343,https://www.nmles.gov/Sessions/13%20Regular/final/HB0343.pdf,Yr_13RHB0343.pdf, Jr.
72,HB 347,TRUST COMPANY CERTIFICATE FEES,Debbie A. Rodella,SGND,2013 Regular,2013,Regular,347,https://www.nmles.gov/Sessions/13%20Regular/final/HB0347.pdf,Yr_13RHB0347.pdf,Debbie A. Rodella
73,HB 348,STATEWIDE CONSTRUCTION INSPECTOR LICENSING,Debbie A. Rodella,SGND,2013 Regular,2013,Regular,348,https://www.nmles.gov/Sessions/13%20Regular/final/HB0348.pdf,Yr_13RHB0348.pdf,Debbie A. Rodella
74,HB 352,LOCAL CAPITAL OUTLAY PROJECT CONTRIBUTION,"Jason C. Harper
Timothy M. Keller",SGND,2013 Regular,2013,Regular,352,https://www.nmles.gov/Sessions/13%20Regular/final/HB0352.pdf,Yr_13RHB0352.pdf,Jason C. Harper
74,HB 352,LOCAL CAPITAL OUTLAY PROJECT CONTRIBUTION,"Jason C. Harper
Timothy M. Keller",SGND,2013 Regular,2013,Regular,352,https://www.nmles.gov/Sessions/13%20Regular/final/HB0352.pdf,Yr_13RHB0352.pdf,Timothy M. Keller
75,HB 353,CAPITAL OUTLAY PROJECT REAUTHORIZATIONS,Jim R. Trujillo,SGND,2013 Regular,2013,Regular,353,https://www.nmles.gov/Sessions/13%20Regular/final/HB0353.pdf,Yr_13RHB0353.pdf,Jim R. Trujillo
76,HB 358,ADD JUDICIAL STANDARDS COMMISSION MEMBERS,Zachary J. Cook,SGND,2013 Regular,2013,Regular,358,https://www.nmles.gov/Sessions/13%20Regular/final/HB0358.pdf,Yr_13RHB0358.pdf,Zachary J. Cook
77,HB 368,RENUMBER SAN JUAN PRECINCT NUMBERS,James R.J. Strickler,SGND,2013 Regular,2013,Regular,368,https://www.nmles.gov/Sessions/13%20Regular/final/HB0368.pdf,Yr_13RHB0368.pdf,James R.J. Strickler
78,HB 371,PUBLIC IMPROVEMENT DISTRICT BONDS & LEVIES,Jason C. Harper,SGND,2013 Regular,2013,Regular,371,https://www.nmles.gov/Sessions/13%20Regular/final/HB0371.pdf,Yr_13RHB0371.pdf,Jason C. Harper
79,HB 374,SAFE HAVEN FOR INFANTS SITE DEFINITION,Emily Kane,SGND,2013 Regular,2013,Regular,374,https://www.nmles.gov/Sessions/13%20Regular/final/HB0374.pdf,Yr_13RHB0374.pdf,Emily Kane
80,HB 379,FILM PRODUCTION TAX CREDIT INCREASE,"Antonio ""Moe"" Maestas",VETO,2013 Regular,2013,Regular,379,https://www.nmles.gov/Sessions/13%20Regular/final/HB0379.pdf,Yr_13RHB0379.pdf,Antonio Moe Maestas
81,HB 392,PUBLIC EDUCATION COMMISSION AS INDEPENDENT,Mary Helen Garcia,VETO,2013 Regular,2013,Regular,392,https://www.nmles.gov/Sessions/13%20Regular/final/HB0392.pdf,Yr_13RHB0392.pdf,Mary Helen Garcia
82,HB 393,DANGEROUS DRUG DISPOSAL BY PHARMACISTS,Terry H. McMillan,SGND,2013 Regular,2013,Regular,393,https://www.nmles.gov/Sessions/13%20Regular/final/HB0393.pdf,Yr_13RHB0393.pdf,Terry H. McMillan
83,HB 401,STATE INVESTMENT IN TECH TRANSFER COMPANIES,Carl Trujillo,SGND,2013 Regular,2013,Regular,401,https://www.nmles.gov/Sessions/13%20Regular/final/HB0401.pdf,Yr_13RHB0401.pdf,Carl Trujillo
84,HB 415,PUBLIC WATER SUPPLY CONTAMINANT TESTING,"George Dodge, Jr.",SGND,2013 Regular,2013,Regular,415,https://www.nmles.gov/Sessions/13%20Regular/final/HB0415.pdf,Yr_13RHB0415.pdf,George Dodge
84,HB 415,PUBLIC WATER SUPPLY CONTAMINANT TESTING,"George Dodge, Jr.",SGND,2013 Regular,2013,Regular,415,https://www.nmles.gov/Sessions/13%20Regular/final/HB0415.pdf,Yr_13RHB0415.pdf, Jr.
85,HB 416,ANESTHESIOLOGIST ASSISTANT SUPERVISION,Gail Chasey,SGND,2013 Regular,2013,Regular,416,https://www.nmles.gov/Sessions/13%20Regular/final/HB0416.pdf,Yr_13RHB0416.pdf,Gail Chasey
86,HB 417,CULTURAL AFFAIRS DEPT. ENTERPRISE FUND,"Luciano ""Lucky"" Varela",SGND,2013 Regular,2013,Regular,417,https://www.nmles.gov/Sessions/13%20Regular/final/HB0417.pdf,Yr_13RHB0417.pdf,Luciano Lucky Varela
87,HB 438,NO MANDATORY PAROLE FOR CERTAIN SENTENCES,Mimi Stewart,VETO,2013 Regular,2013,Regular,438,https://www.nmles.gov/Sessions/13%20Regular/final/HB0438.pdf,Yr_13RHB0438.pdf,Mimi Stewart
88,HB 443,UNPAID UNEMPLOYMENT CIVIL ACTIONS,Phillip M. Archuleta,SGND,2013 Regular,2013,Regular,443,https://www.nmles.gov/Sessions/13%20Regular/final/HB0443.pdf,Yr_13RHB0443.pdf,Phillip M. Archuleta
89,HB 448,REMOVAL OF LANDS FROM WATERSHED DISTRICTS,"George Dodge, Jr.",SGND,2013 Regular,2013,Regular,448,https://www.nmles.gov/Sessions/13%20Regular/final/HB0448.pdf,Yr_13RHB0448.pdf,George Dodge
89,HB 448,REMOVAL OF LANDS FROM WATERSHED DISTRICTS,"George Dodge, Jr.",SGND,2013 Regular,2013,Regular,448,https://www.nmles.gov/Sessions/13%20Regular/final/HB0448.pdf,Yr_13RHB0448.pdf, Jr.
90,HB 460,SCHOOL MANAGEMENT CONTRACTS & CHARTER BOARDS,"Mimi Stewart
Timothy M. Keller",VETO,2013 Regular,2013,Regular,460,https://www.nmles.gov/Sessions/13%20Regular/final/HB0460.pdf,Yr_13RHB0460.pdf,Mimi Stewart
90,HB 460,SCHOOL MANAGEMENT CONTRACTS & CHARTER BOARDS,"Mimi Stewart
Timothy M. Keller",VETO,2013 Regular,2013,Regular,460,https://www.nmles.gov/Sessions/13%20Regular/final/HB0460.pdf,Yr_13RHB0460.pdf,Timothy M. Keller
