"Affordable Solar Group, Inc.,""Affordable Solar Group, Inc."",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"AFL-CIO NM Federation of Labor,AFL-CIO NM Federation of Labor,LABOR & WORKFORCE,,"
"AFSCME,AFSCME Council 18,LABOR & WORKFORCE,,"
"AFSCME Council 18,AFSCME International,LABOR & WORKFORCE,,"
"AFSCME International,""Agenda, LLC"",""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"AFT New Mexico ,AIA-NM,INDUSTRY,,"
"Agenda, LLC,Giffords PAC,""FIREARMS, GUNS & AMMUNITION"",,"
"AIA-NM,AIG,BANKING & FINANCE,,"
"Aiffords - PAC,Air Methods Corportation,HEALTHCARE,,"
"AIG,Aircraft Owners and Pilots Association ,TRANSPORTATION,,"
"Air Methods Corportation,Aladdin Bail Bonds NM,BANKING & FINANCE,,"
"Aircraft Owners and Pilots Association ,Alarid Consulting,""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Aladdin Bail Bonds NM,Albuquerque Bernalillo County Water Utility Authority,WATER RESOURCES,,"
"Alarid Consulting,Albuqeruqe Wildlife Federation,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Albuqerque Bernalillo County Water Utility Authori,Albuquerque Academy,EDUCATION,,"
"Albuqeruqe Wildlife Federation,Albuquerque Bernalillo County Water Utility Authority,WATER RESOURCES,,"
"Albuquerque Academy,Albuquerque Bernalillo County Water Utility Authority,WATER RESOURCES,,"
"Albuquerque Bernalillo County Water Authority,Albuquerque Cab Company,TRANSPORTATION,,"
"Albuquerque Bernalillo County Water Utility Author,Albuquerque Collegiate Charter School,EDUCATION,,"
"Albuquerque Cab Company,Albuquerque Down Racetrack & CASINO & GAMING,CASINO & GAMING,,"
"Albuquerque Collegiate Charter School,""Albuquerque Economic Development, Inc."",ECONOMIC & SUSTAINABLE DEVELOPMENT,,"
"Albuquerque Down Racetrack & Casino,Albuquerque HEALTHCARE Care for the Homeless,HEALTHCARE,,"
"Albuquerque Economic Development, Inc.,Albuquerque Hispano Chamber of Commerce,BANKING & FINANCE,,"
"Albuquerque Health Care for the Homeless,Albuquerque International Balloon Fiesta,TOURISM,,"
"Albuquerque Hispano Chamber of Commerce,Albuquerque International Balloon Fiesta,TOURISM,,"
"Albuquerque International Balloon Fiesta,Albuquerque Metropolitan Arroyo Flood Control Authority,WATER RESOURCES,,"
"Albuquerque International Balloon Fiesta, Inc. ,Albuquerque Museum Foundation,ARTS & CULTURE,,"
"Albuquerque Metropolitan Arroyo Flood Control Auth,Albuquerque Police Officers Association,LAW ENFORCEMENT & CRIME,,"
"Albuquerque Museum Foundation,Albuquerque Public School Principal Association,EDUCATION,,"
"Albuquerque Police Officers Association,Albuquerque Public Schools,EDUCATION,,"
"Albuquerque Public School Principal Association,Albuquerque Publishing Company,""MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"",,"
"Albuquerque Public Schools,Albuquerque School of Excellence,EDUCATION,,"
"Albuquerque Publishing Company,Albuquerque Sign Language Academy,EDUCATION,,"
"Albuquerque School of Excellence,Albuquerque Studios,FILM,,"
"Albuquerque Sign Language Academy,Albuquerque Studios/NM Film Industry ,FILM,,"
"Albuquerque Studios,Alcohol Taxes Saves Lives & Money,""ALCOHOL, CANNABIS, & TOBACCO"",,"
"Albuquerque Studios/NM Film Industry ,Alfred Keller,WATER RESOURCES,,"
"Alcohol Taxes Saves Lives & Money,Align Public Strategies,""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Alfred Keller,""Alkermes, Inc."",PHARMACEUTICALS,,"
"Align Public Strategies,All American Ruidoso Downs LLC,CASINO & GAMING,,"
"Alkermes, Inc.,All Pueblo Council of Governors,TRIBAL GOVERNMENT,,"
"All American Ruidoso Downs LLC,""Allergan, Inc."",PHARMACEUTICALS,,"
"All Pueblo Council of Governors,Alliance for Local Economic Prosperity,ECONOMIC & SUSTAINABLE DEVELOPMENT,,"
"Allergan, Inc.,Alliance for Solar Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"Alliance for Local Economic Prosperity,""Alliance of Automobile Manufacturers, Inc."",TRANSPORTATION,,"
"Alliance for Solar Energy,Alliance of Health Care Sharing Ministries,HEALTHCARE,,"
"Alliance of Automobile Manufacturers, Inc.,Alliance of NM Chiropractors,HEALTHCARE,,"
"Alliance of Health Care Sharing Ministries,Allstate Insurance Company,INSURANCE,,"
"Alliance of NM Chiropractors,""Allsups Convenience Store, Inc."",RETAIL & CONSUMER RIGHTS,,"
"Allstate Insurance Company,Altamonte Little League,SPORTS,,"
"Allsups Convenience Store, Inc.,Altria,HEALTHCARE,,"
"Altamonte Little League,Altria Client Services LLC,HEALTHCARE,,"
"Altria,Altura Prepartary School,EDUCATION,,"
"Altria Client Services LLC,Alzheimer's Association,HEALTHCARE,,"
"Altura Prepartary School,""Amazon.com Services, Inc."",INFORMATION TECHNOLOGY,,"
"Alzheimer's Association,Ambassadors for Spaceport America,TRANSPORTATION,,"
"Amazon.com Services, Inc.,Ambitions Consulting Group ,INFORMATION TECHNOLOGY,,"
"Ambassadors for Spaceport America,""Ameresco, Inc."",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"Ambitions Consulting Group ,America Votes ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"Ameresco, Inc.,American Academy of Ophthalmology,HEALTHCARE,,"
"America Votes ,American Association of University Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"American Academy of Ophthalmology,American Association of University Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"American Association of University Women,American Associations of Orthodintists,HEALTHCARE,,"
"American Association of University Women-New Mexico,American Bail Coalition,BANKING & FINANCE,,"
"American Associations of Orthodintists,American Cancer Society Action Network,HEALTHCARE,,"
"American Bail Coalition,American Cancer Society Cancer Action Network,HEALTHCARE,,"
"American Cancer Society Action Network,American Chemistry Council,INDUSTRY,,"
"American Cancer Society Cancer Action Network,American Civil Liberties Union of New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"American Chemistry Council,American Coalition for Clean Coal Electricity ,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"American Civil Liberties Union of New Mexico,American Council of Engineering Companies,REAL ESTATE & CONSTRUCTION,,"
"American Coalition for Clean Coal Electricity ,American Council of Life Insurers ,INSURANCE,,"
"American Council of Engineering Companies,American Diabetes Association,HEALTHCARE,,"
"American Council of Life Insurers ,American Electric Power Corporation,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"American Diabetes Association,American Express Company,BANKING & FINANCE,,"
"American Electric Power Corporation,American Fair Credit Council,BANKING & FINANCE,,"
"American Express Company,American Family  Life Assurance Co. of Columbus,INSURANCE,,"
"American Fair Credit Council,American Federation for Children,EDUCATION,,"
"American Family  Life Assurance Co. of Columbus,""American Federation of State, County and Municipal Employees"",LABOR & WORKFORCE,,"
"American Federation for Children,""American Federation of State, County and Municipal Employees"",LABOR & WORKFORCE,,"
"American Federation of State County Municipal Empl,American Federation of Teachers New Mexico ,EDUCATION,,"
"American Friends Service Committee,American Friends Service Committee,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"American Heart Association,American Heart Association,HEALTHCARE,,"
"American Indian Center,American Indian Center,RETAIL & CONSUMER RIGHTS,,"
"American Institute of Architects,American Institute of Architects,REAL ESTATE & CONSTRUCTION,,"
"American Insurance Association,American Insurance Association,INSURANCE,,"
"American Knife and Tool Institute,American Knife and Tool Institute,INDUSTRY,,"
"American Lands Council ,American Lands Council ,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"American Lung Association in New Mexico ,American Lung Association in New Mexico ,HEALTHCARE,,"
"American Massage Therapy Association-NM Chapter,American Massage Therapy Association-NM Chapter,HEALTHCARE,,"
"American Medical Response,American Medical Response,HEALTHCARE,,"
"American Naprapathic Association (Illinois) ,American Naprapathic Association (Illinois) ,HEALTHCARE,,"
"American Promotional Events,American Promotional Events,TOURISM,,"
"American Property Casualty Insurance Association,American Property Casualty Insurance Association,INSURANCE,,"
"American Society of Interior Designers,American Society of Interior Designers,REAL ESTATE & CONSTRUCTION,,"
"American Society Prevention of  Cruelty to Animals,American Society Prevention of  Cruelty to Animals,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"American Subcontractors Association of New Mexico,American Subcontractors Association of New Mexico,REAL ESTATE & CONSTRUCTION,,"
"American TeleDentistry Association,American TeleDentistry Association,HEALTHCARE,,"
"American Tort Reform Association,American Tort Reform Association,JUDICIARY & RULES,,"
"American Votes ,American Votes ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"American Wild Horse Campaign,American Wild Horse Campaign,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Americans for Comprehensive Energy Solutions INC,Americans for Comprehensive Energy Solutions INC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"Americans for Prosperity,Americans for Prosperity,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"America's Health Insurance Plans,America's Health Insurance Plans,INSURANCE,,"
"Amerigroup Community Care,Amerigroup Community Care,HEALTHCARE,,"
"AMGEN,AMGEN,INDUSTRY,,"
"Amigos Bravos,Amigos Bravos,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"AMIKids, Inc,""AMIKids, Inc"",""SENIOR, FAMILY & YOUTH ADVOCACY"",,"
"Amplify Education, Inc. ,""Amplify Education, Inc. "",EDUCATION,,"
"Andeavor,Andeavor,""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Anderson Abruzzo International Balloon Museum Foun,Anderson Abruzzo International Balloon Museum Foundation,TOURISM,,"
"Andrea Romero Consulting, LLC,""Andrea Romero Consulting, LLC"",""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Angel Fire Real Estate LLC,Angel Fire Real Estate LLC,REAL ESTATE & CONSTRUCTION,,"
"Angel Fire Resort Managment LLC,Angel Fire Resort Managment LLC,REAL ESTATE & CONSTRUCTION,,"
"Anheuser-Busch Companies Inc.,Anheuser-Busch Companies Inc.,""ALCOHOL, CANNABIS, & TOBACCO"",,"
"Anheuser-Busch Companies, Inc.,""Anheuser-Busch Companies, Inc."",""ALCOHOL, CANNABIS, & TOBACCO"",,"
"Animal Protection Voters,Animal Protection Voters,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Animal Protection Voters 2,Animal Protection Voters,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Anthem Inc. and Its Affiliates,Anthem Inc. and Its Affiliates,HEALTHCARE,,"
"Anthem Inc., and Its Affiliates,""Anthem Inc., and Its Affiliates"",HEALTHCARE,,"
"Anthony Water & Sanitation District,Anthony Water & Sanitation District,WATER RESOURCES,,"
"Anti-Defamation League,Anti-Defamation League,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"Apache Corporation,Apache Corporation,""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Apartment Association of New Mexico ,Apartment Association of New Mexico ,REAL ESTATE & CONSTRUCTION,,"
"Apollo Group, Inc. / University of Phoenix,""Apollo Group, Inc. / University of Phoenix"",EDUCATION,,"
"Apple Inc.,Apple Inc.,INDUSTRY,,"
"Apriss Inc.,Apriss Inc.,INFORMATION TECHNOLOGY,,"
"Aqua Pura Water Association,Aqua Pura Water Association,WATER RESOURCES,,"
"Arizona Public Service Company,Arizona Public Service Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"Arizona/New Mexico Cable Association,Arizona/New Mexico Cable Association,TELECOM,,"
"Artesia General Hospital,Artesia General Hospital,HEALTHCARE,,"
"Assoc.of Developmental Disabilities Community Providers,Assoc.of Developmental Disabilities Community Providers,HEALTHCARE,,"
"ASSOCIA,ASSOCIA,HEALTHCARE,,"
"Associated Builders & Contractors, Inc. NM Chapter,""Associated Builders & Contractors, Inc. NM Chapter"",REAL ESTATE & CONSTRUCTION,,"
"Associated Contractors of New Mexico,Associated Contractors of New Mexico,REAL ESTATE & CONSTRUCTION,,"
"Associated General Contractors New Mexico,Associated General Contractors New Mexico,REAL ESTATE & CONSTRUCTION,,"
"Associated Students of New Mexico State University,Associated Students of New Mexico State University,EDUCATION,,"
"Associated Students of NMSU,Associated Students of NMSU,EDUCATION,,"
"Association for Accessible Medicines,Association for Accessible Medicines,HEALTHCARE,,"
"Association for Traditional East-Asian Medicine,Association for Traditional East-Asian Medicine,HEALTHCARE,,"
"Association of American  Publishers 2,""Association of American Publishers, Inc."",""MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"",,"
"Association of American Publishers, Inc.,""Association of American Publishers, Inc."",""MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"",,"
"Association of Commerce and Industry,Association of Commerce and Industry,ECONOMIC & SUSTAINABLE DEVELOPMENT,,"
"Association of Commerce and Industry of New Mexico,Association of Commerce and Industry of New Mexico,ECONOMIC & SUSTAINABLE DEVELOPMENT,,"
"Association of Global Automakers, Inc.,""Association of Global Automakers, Inc."",TRANSPORTATION,,"
"Assurant Inc. ,Assurant Inc. ,INSURANCE,,"
"Astellas Pharma US, Inc.,""Astellas Pharma US, Inc."",PHARMACEUTICALS,,"
"Astrazeneca Pharmaceuticals, LP,""Astrazeneca Pharmaceuticals, LP"",HEALTHCARE,,"
"Asurion Insurance Services, Inc.,""Asurion Insurance Services, Inc."",PHARMACEUTICALS,,"
"AT&T,AT&T,TELECOM,,"
"Audubon New Mexico,Audubon New Mexico,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Augustin Plains Ranch, LLC,""Augustin Plains Ranch, LLC"",RANCHING & AGRICULTURE,,"
"Avangrid Renewables LLC,Avangrid Renewables LLC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"Axcess Financial Services, Inc.,""Axcess Financial Services, Inc."",BANKING & FINANCE,,"
"Axiom CPAs and Business Advisors, LLC,""Axiom CPAs and Business Advisors, LLC"",BANKING & FINANCE,,"
"Ayala Construction,Ayala Construction,REAL ESTATE & CONSTRUCTION,,"
"B.E. Resources, Inc.,""B.E. Resources, Inc."",""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Bail Bond Association of New Mexico,Bail Bond Association of New Mexico,BANKING & FINANCE,,"
"Balzano Government Relations, LLC,""Balzano Government Relations, LLC"",""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Bank of America Corporation,Bank of America Corporation,BANKING & FINANCE,,"
"Baptist Convention of New Mexico,Baptist Convention of New Mexico,RELIGIOUS ORGANIZATIONS,,"
"Basin Disposal/Aztec Well Services,Basin Disposal/Aztec Well Services,""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Basin Properties,Basin Properties,REAL ESTATE & CONSTRUCTION,,"
"Bayer U.S. LLC,Bayer U.S. LLC,PHARMACEUTICALS,,"
"BCG Consulting, LLC,""BCG Consulting, LLC"",""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"BDDAK Properties LLC,BDDAK Properties LLC,REAL ESTATE & CONSTRUCTION,,"
"Be Resources, Inc.,""Be Resources, Inc."",OTHER,,"
"Behavioral Health Provider Association of NM,Behavioral Health Provider Association of NM,HEALTHCARE,,"
"Benjamin Oppliger Land & Catle,Benjamin Oppliger Land & Catle,RANCHING & AGRICULTURE,,"
"Bernalillo County,Bernalillo County,CITY & COUNTY GOVERNMENT,,"
"Bernalillo County Assessor,Bernalillo County Assessor,CITY & COUNTY GOVERNMENT,,"
"Bernalillo County, County Attorney's Office,""Bernalillo County, County Attorney's Office"",CITY & COUNTY GOVERNMENT,,"
"Best Daze Inc.,Best Daze Inc.,""ALCOHOL, CANNABIS, & TOBACCO"",,"
"Best Friends Animal Society ,Best Friends Animal Society ,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"BHP Billiton,BHP Billiton,""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"BHP Navajo Coal Company,BHP Navajo Coal Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"Big Brothers Big Sister of Northern NM,Big Brothers Big Sister of Northern NM,""SENIOR, FAMILY & YOUTH ADVOCACY"",,"
"Big E, DBA Ellis Tanner Tading Co,""Big E, DBA Ellis Tanner Tading Co"",RETAIL & CONSUMER RIGHTS,,"
"BioDesign,BioDesign,""ALCOHOL, CANNABIS, & TOBACCO"",,"
"Biotechnology Innovation Organization,Biotechnology Innovation Organization,INDUSTRY,,"
"Bird Rides, Inc.,""Bird Rides, Inc."",TRANSPORTATION,,"
"Blackbird Logistics Corporation,Blackbird Logistics Corporation,TRANSPORTATION,,"
"Blackboard, Inc.,""Blackboard, Inc."",EDUCATION,,"
"Blackbuck Resources, LLC,""Blackbuck Resources, LLC"",WATER RESOURCES,,"
"Blake's Lotaburger, LLC,""Blake's Lotaburger, LLC"",""RESTAURANT, FOOD & BEVERAGE "",,"
"Bloomfield irrigation District,Bloomfield Irrigation District,WATER RESOURCES,,"
"Blue Ski Distributors,Blue Sky Distributors,""ALCOHOL, CANNABIS, & TOBACCO"",,"
"Blue Sky Distributors,Blue Sky Distributors,""ALCOHOL, CANNABIS, & TOBACCO"",,"
"BlueInk Technologies Inc.,BlueInk Technologies Inc.,TRANSPORTATION,,"
"BNSF Railway Company,BNSF Railway Company,TRANSPORTATION,,"
"Board of County Commissioners Of Otero County ,Board of County Commissioners Of Otero County ,CITY & COUNTY GOVERNMENT,,"
"Bob Cleavall Consulting, LLC,""Bob Cleavall Consulting, LLC"",""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Bold Futures NM,Bold Futures NM,HEALTHCARE,,"
"Border Area Mental Health Service, Inc.,""Border Area Mental HEALTHCARE Service, Inc."",HEALTHCARE,,"
"Border Industrial Association,Border Industrial Association,ECONOMIC & SUSTAINABLE DEVELOPMENT,,"
"Bowlins,Bowlins,RETAIL & CONSUMER RIGHTS,,"
"BP America Production Company - US Lower 48 Onshore,BP America Production Company - US Lower 48 Onshore,""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"BP America, Inc.,""BP America, Inc."",""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Bright Green Corporation,Bright Green Corporation,""ALCOHOL, CANNABIS, & TOBACCO"",,"
"Bright Source Enegy, Inc.,""Bright Source Enegy, Inc."",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION,,"
"Brinker International,Brinker International,""RESTAURANT, FOOD & BEVERAGE "",,"
"Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,PHARMACEUTICALS,,"
"Broad Spectrum Consulting, LLC. ,""Broad Spectrum Consulting, LLC. "",""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Broad Spectrum Government Affairs & Consulting,Broad Spectrum Government Affairs & Consulting,""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Broaddus & Associates,Broaddus & Associates,""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Broadway Pawn & Jewelry, Inc.,""Broadway Pawn & Jewelry, Inc."",BANKING & FINANCE,,"
"Brownstein Hyatt Farber Schreck LLP,Brownstein Hyatt Farber Schreck LLP,""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Brumfield & Burroughes LLC,Brumfield & Burroughes LLC,""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Bryan Haynes and William McGowan,Bryan Haynes and William McGowan,""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Builders Trust of New Mexico,Builders Trust of New Mexico,REAL ESTATE & CONSTRUCTION,,"
"Burlington Northern Santa Fe Railway Company,Burlington Northern Santa Fe Railway Company,TRANSPORTATION,,"
"Burrell College of Osteopathic Medicine, LLC,""Burrell College of Osteopathic Medicine, LLC"",HEALTHCARE,,"
"Buzzsaw Strategies ,Buzzsaw Strategies ,REAL ESTATE & CONSTRUCTION,,"
"C.K. Disposal,C.K. Disposal,""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Calibers Shooting Sports Centers, LLC,""Calibers Shooting Sports Centers, LLC"",""FIREARMS, GUNS & AMMUNITION"",,"
"Capital City Cab/Village Taxi, Inc.,""Capital City Cab/Village Taxi, Inc."",TRANSPORTATION,,"
"Capitol Counsel & Consulting,Capitol Counsel & Consulting,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"Caremark Rx, Inc.,""Caremark Rx, Inc."",PHARMACEUTICALS,,"
"Carino De los Ninos Charter School,Carino De los Ninos Charter School,EDUCATION,,"
"Carlsbad Irrigation District,Carlsbad Irrigation District,WATER RESOURCES,,"
"Carpenters/Contractors Cooperation Committee,Carpenters/Contractors Cooperation Committee,REAL ESTATE & CONSTRUCTION,,"
"Carr, Riggs & Ingran, LLC,""Carr, Riggs & Ingran, LLC"",BANKING & FINANCE,,"
"Casas de Buena Ventura Inc.,Casas de Buena Ventura Inc.,REAL ESTATE & CONSTRUCTION,,"
"Castle Stawiarski, LLC,""Castle Stawiarski, LLC"",""LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"",,"
"Cathlic Coalition of New Mexico ,Cathlic Coalition of New Mexico ,RELIGIOUS ORGANIZATIONS,,"
"Caza Ranches LLC,Caza Ranches LLC,RANCHING & AGRICULTURE,,"
"Cebolleta Land Grant,Cebolleta Land Grant,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Celgene Corporation,Celgene Corporation,PHARMACEUTICALS,,"
"Cellular Sales of New Mexico, LLC,""Cellular Sales of New Mexico, LLC"",TELECOM,,"
"Cemex Construction,Cemex Construction,REAL ESTATE & CONSTRUCTION,,"
"Centene Corporation,Centene Corporation,HEALTHCARE,,"
"Centennial Resourse Production, LLC,""Centennial Resourse Production, LLC"",""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Center for Biological Diversity,Center for Biological Diversity,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Center for Civic Action,Center for Civic Action,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"Center for Civic Policy,Center for Civic Policy,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"Center for Civic Values,Center for Civic Values,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY,,"
"Center for Responsible Lending,Center for Responsible Lending,BANKING & FINANCE,,"
"Central Consolidated School District,Central Consolidated School District,EDUCATION,,"
"Central New Mexico Audubon Society,Central New Mexico Audubon Society,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Central New Mexico Community College,Central New Mexico Community College,EDUCATION,,"
"Central NM Community College (CNM),Central NM Community College (CNM),EDUCATION,,"
"Century Bank,Century Bank,BANKING & FINANCE,,"
"Century Link,Century Link,TELECOM,,"
"Century Tel Services Group ,Century Tel Services Group ,TELECOM,,"
"Cerelink, Inc.,""Cerelink, Inc."",INDUSTRY,,"
"Cesar Chavez Charter School,Cesar Chavez Charter School,EDUCATION,,"
"CH I St. Joseph's Children,CH I St. Joseph's Children,HEALTHCARE,,"
"Chama Troutstalkers LLC,Chama Troutstalkers LLC,RANCHING & AGRICULTURE,,"
"Champion Xpress/Dale Shine Xpress Car Wash,Champion Xpress/Dale Shine Xpress Car Wash,TRANSPORTATION,,"
"Channel Pinto Soil & Water Conservation District,Channel Pinto Soil & Water Conservation District,""CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"",,"
"Cheery Valley Ranch LP, DBA The Marsh Ranch,""Cheery Valley Ranch LP, DBA The Marsh Ranch"",RANCHING & AGRICULTURE,,"
"Chesapeake Energy Corporation,Chesapeake Energy Corporation,""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
"Chevron Mining, Inc.,""Chevron Mining, Inc."",""EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"",,"
