First Name,Last Name,Description,IsContribution,Amount,Date Contribution,Contribution/Expenditure On Behalf Of,Name of Candidate/Public Official/Ballot Issue,Expenditure Purpose,Beneficiary,Filing Period,Date Added
Raymond ,Sanchez,Candidate,2,500,10/20/2020,Raymond G. Sanchez,Karen Bash,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:32
Raymond ,Sanchez,Candidate,2,300,10/20/2020,Raymond G. Sanchez,Willie Madrid,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:32
Raymond ,Sanchez,Candidate,2,400,10/20/2020,Raymond G. Sanchez,Kristina Ortez,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:31
Raymond ,Sanchez,Candidate,2,400,10/20/2020,Raymond G. Sanchez,Roger Montoya,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:28
Raymond ,Sanchez,Candidate,2,500,10/20/2020,Raymond G. Sanchez,Georgene Louis,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:17
Raymond ,Sanchez,Candidate,2,350,10/12/2020,Raymond G. Sanchez,Eliseo Alcon,NULL,NULL,2021 January Lobbyist Report,12/2/2021 21:15
Raymond ,Sanchez,Candidate,2,300,10/20/2020,Raymond G. Sanchez,Willie Madrid,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:53
Raymond ,Sanchez,Candidate,2,500,10/20/2020,Raymond G. Sanchez,Gail Chasey,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:47
Raymond ,Sanchez,Candidate,2,250,10/20/2020,Raymond G. Sanchez,Marian Matthews,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:46
Raymond ,Sanchez,Candidate,2,250,10/20/2020,Raymond G. Sanchez,Miguel P. Garcia,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:44
Raymond ,Sanchez,Candidate,2,500,10/19/2020,Raymond G. Sanchez,Deb Haaland,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:43
Raymond ,Sanchez,Candidate,2,200,10/13/2020,Raymond G. Sanchez,Courtney Weaks,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:42
Raymond ,Sanchez,Candidate,2,500,10/13/2020,Raymond G. Sanchez,Damon Ely,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:40
Raymond ,Sanchez,Candidate,2,400,10/13/2020,Raymond G. Sanchez,Joy Garratt,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:40
Raymond ,Sanchez,Candidate,2,250,10/12/2020,Raymond G. Sanchez,Dayan Hochman-Vigil,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:39
Raymond ,Sanchez,Candidate,2,200,10/12/2020,Raymond G. Sanchez,Melanie Stansbury,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:37
Raymond ,Sanchez,Candidate,2,200,10/12/2020,Raymond G. Sanchez,Marian Matthews,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:36
Raymond ,Sanchez,Candidate,2,350,10/12/2020,,Paul Baca,NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:36
Raymond ,Sanchez,Candidate,2,350,10/12/2020,Raymond G. Sanchez,"Bill O""Neil",NULL,NULL,2021 January Lobbyist Report,12/2/2021 20:35
Hugo,Gutierrez,Meal and Beverage Expenses,1,57.54,11/25/2020,Marathon Oil Corporation,The Rustic,Lobbying,Micaela Lara Cadena,2021 January Lobbyist Report,5/4/2021 16:43
Robert ,Donaldson,Meal and Beverage Expenses,1,137.58,1/27/2020,Altria Client Services LLC,Jim Trujillo,Meal,Jim Trujillo,2020 May Lobbyist Report,3/3/2021 11:16
Allyson,Siwik,Candidate,2,52.23,8/18/2020,Allyson Siwik,Alicia Edwards,NULL,NULL,2020 October Lobbyist Report,1/16/2021 6:57
Allyson,Siwik,Candidate,2,100,10/19/2020,Allyson Siwik,Mimi Stewart,NULL,NULL,2021 January Lobbyist Report,1/16/2021 6:48
Allyson,Siwik,Candidate,2,50,10/14/2020,Allyson Siwik,Bill Soules,NULL,NULL,2021 January Lobbyist Report,1/16/2021 6:47
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Candie Sweetser,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:51
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Bill Rehm,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:49
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Rebecca Dow,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:48
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Joy Garrat,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:48
James,Bullington,Candidate,2,1000,10/23/2020,"K12, Inc.",Rep. Nathan Small,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:48
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Jason Harper,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:47
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Liz Thomson,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:47
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Daymon Ely,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:47
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Day Hochman-Vigil,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:46
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Eliseo Alcon,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:45
James,Bullington,Political Contribution,2,1000,10/23/2020,"K12, Inc.",People for Growing our Economy,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:44
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Alonzo Baldonado,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:43
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Rep. Kelly Fajardo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:43
James,Bullington,Political Contribution,2,5000,10/23/2020,"K12, Inc.",Brian Egolf Speaker Fund,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:42
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Sen. Craig Brandt,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:41
James,Bullington,Candidate,2,1000,10/23/2020,"K12, Inc.",Sen. Sander Rue,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:41
James,Bullington,Candidate,2,1000,10/23/2020,"K12, Inc.",Sen. George Munoz,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:40
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Sen. Nancy Rodriguez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:40
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Sen. Benny Shendo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:39
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Sen. Mark Moores,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:39
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Sen. Daniel Ivey-Soto,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:38
James,Bullington,Candidate,2,1000,10/23/2020,"K12, Inc.",Sen. Bill O'Neill,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:38
James,Bullington,Political Contribution,2,1000,10/23/2020,"K12, Inc.",NM Senate Democrats,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:38
James,Bullington,Candidate,2,500,10/23/2020,"K12, Inc.",Sen. Candace Gould,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:37
James,Bullington,Political Contribution,2,1000,11/10/2020,"K12, Inc.",Lt. Gov. Howie Morales,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:36
James,Bullington,Political Contribution,2,1000,11/23/2020,Union Pacific Railroad,Brian Egolf Speaker Fund,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:35
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Gay Kernan,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:34
James,Bullington,Candidate,2,1000,11/23/2020,Union Pacific Railroad,Rep. Doreen Gallegos,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:34
Dan ,Weaks,Political Contribution,2,1000,10/20/2020,NM Hospital Association,Craig Brandt,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:33
James,Bullington,Candidate,2,1000,11/23/2020,Union Pacific Railroad,Rep. Nathan Small,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:33
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Elizabeth Stefanics,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:33
James,Bullington,Candidate,2,1000,11/23/2020,Union Pacific Railroad,Rep. Patty Lundstrom,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:33
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,Elizabeth Stefanics,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:32
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Crystal Diamond,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:31
James,Bullington,Candidate,2,500,11/23/2020,Union Pacific Railroad,Rep. Christine Trujillo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:31
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Ron Griggs,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:31
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,William Burt ,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:30
James,Bullington,Candidate,2,1000,11/23/2020,Union Pacific Railroad,Sen. Pete Campos,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:29
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Joseph Cervantes,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:29
Dan ,Weaks,Political Contribution,2,500,10/20/2020,Dan Weaks Consulting,Joseph Cervantes,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:29
Dan ,Weaks,Political Contribution,2,1000,10/20/2020,NM Hospital Association,Stewart Ingle,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:28
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Jacob Candelaria,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:27
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,Jacob Candelaria,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:26
Dan ,Weaks,Political Contribution,2,1000,10/20/2020,NM Hospital Association,Peter Wirth,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:26
Dan ,Weaks,Political Contribution,2,500,10/20/2020,Dan Weaks Consulting,Peter Wirth,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:25
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Nancy Rodriquez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:24
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,Nancy Rodriguez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:23
Dan ,Weaks,Political Contribution,2,300,10/20/2020,nm Hospital Association,Sander Rue,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:23
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Sander Rue,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:22
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Benny Shendo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:20
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,Benny Shendo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:20
Dan ,Weaks,Political Contribution,2,1000,10/20/2020,NM Hospital Association,Mark Moores,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:19
Dan ,Weaks,Political Contribution,2,300,10/20/2020,dan Weaks Consulting,Mark Moores,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:19
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Martin Hickey,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:18
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Bill Tallman,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:17
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Bill Tallman,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:17
Dan ,Weaks,Political Contribution,2,1000,10/20/2020,NM Hospital Association,Mimi Stewart,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:16
Dan ,Weaks,Political Contribution,2,1000,12/28/2020,Dan Weaks Consulting,Mimi Stewart,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:15
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Daniel Ivey-Soto,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:07
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Michael Padilla,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:06
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,bill O'Neill,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:05
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Gerald Ortiz y Pino,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:05
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,Gerald Ortiz y Pino,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:04
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Linda Lopez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:03
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Linda Lopez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:03
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Katy Duhigg,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:02
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Candace Gould,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:01
Dan ,Weaks,Political Contribution,2,200,10/27/2020,Dan Weaks Consulting,Candace Gould,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:01
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Pete Campos,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:00
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,Pete Campos,NULL,NULL,2021 January Lobbyist Report,1/15/2021 19:00
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Pat Woods,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:59
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Roberto Bobby Gonzalez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:58
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,Roberto Bobby Gonzalez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:57
Jason,Espinoza,Political Contribution,2,500,10/15/2020,Jason Espinoza,Representative Patrica Lundstrom,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:57
Jason,Espinoza,Political Contribution,2,500,10/15/2020,Jason Espinoza,Senator Daniel Ivey-Soto,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:56
Dan ,Weaks,Political Contribution,2,200,10/20/2020,NM Hospital Association,Leo Jaramillo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:56
Jason,Espinoza,Political Contribution,2,250,10/15/2020,Jason Espinoza,Representative Candie Sweetser,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:56
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,George Munoz,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:56
Jason,Espinoza,Political Contribution,2,1000,10/15/2020,Jason Espinoza,Representative Rebecca Dow,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:55
Dan ,Weaks,Political Contribution,2,300,10/20/2020,Dan Weaks Consulting,George Munoz,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:55
Dan ,Weaks,Political Contribution,2,200,10/20/2020,NM Hospital Association,Shanon Pinto,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:54
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Steven Neville,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:54
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,William Sharer,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:53
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Harry Garcia,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:52
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,harry Garcia,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:52
Jason,Espinoza,Political Contribution,2,100,10/15/2020,Jason Espinoza,Representative Debbie Sarinana,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:52
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Karen Bash,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:51
Jason,Espinoza,Political Contribution,2,150,10/15/2020,Jason Espinoza,Representative Andrea Romero,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:51
Jason,Espinoza,Political Contribution,2,200,10/15/2020,Jason Espinoza,Representative Jason Harper,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:51
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Karen Bash,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:51
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Jack Chatfield,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:50
Jason,Espinoza,Political Contribution,2,200,10/15/2020,Jason Espinoza,Crystal Diamond,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:49
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Phelps Anderson,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:49
Jason,Espinoza,Political Contribution,2,250,10/15/2020,Jason Espinoza,Gregg Schmedes,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:49
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Derrick Lente,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:49
Jason,Espinoza,Political Contribution,2,250,10/15/2020,Jason Espinoza,Representative Kelly Fajardo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:49
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Derrick Lente,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:48
Jason,Espinoza,Political Contribution,2,500,10/15/2020,Jason Espinoza,Senator Jacob Candelaria,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:48
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Randel Crowder,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:48
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Greg Niebert,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:47
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Candy Spence Ezzell,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:46
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Candy Spence Ezell,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:46
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Jason Harper,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:45
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Jason Harper,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:44
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Zachary Cook,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:43
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Zachary Cook,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:43
Susan,Loubet,Candidate,2,100,11/3/2020,Susan Loubet,Christine Trujillo,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:42
Susan,Loubet,Candidate,2,100,10/10/2020,Susan Loubet,Liz Stefanics,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:41
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Cathrynn Brown,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:40
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Cathrynn Brown,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:40
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,James Townsend,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:39
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,James Townsend,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:38
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Doreen Gallegos,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:37
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Rachael Black,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:37
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Gail Armstrong,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:36
Dan ,Weaks,Political Contribution,2,200,10/20/2020,Dan Weaks Consulting,Gail Armstrong,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:36
Dan ,Weaks,Political Contribution,2,1000,10/20/2020,NM Hospital Association,Brian Egolff,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:35
Dan ,Weaks,Candidate,2,250,10/20/2020,NM Hospital Association,Jane Powdrell-Culbert,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:34
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Jane Powdrell-Culbert,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:33
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Christine Chandler,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:32
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Susan Herrera,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:31
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Susan Herrera,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:31
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Rodolfo Martinez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:30
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Rodolfo Martinez,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:30
Dan ,Weaks,Political Contribution,2,500,10/20/2020,NM Hospital Association,Rebecca Dow,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:29
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Rebecca Dow,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:28
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Nathan Small,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:27
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Micaela Lara Cadena,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:26
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Micaela Lara Cadena,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:25
Susan,Loubet,Candidate,2,25,9/1/2020,Susan Loubet,Claudia Risner,NULL,NULL,2020 October Lobbyist Report,1/15/2021 18:25
Dan ,Weaks,Political Contribution,2,300,10/20/2020,NM Hospital Association,Candie Sweetser,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:24
Dan ,Weaks,Political Contribution,2,250,10/20/2020,Dan Weaks Consulting,Candie Sweetser,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:23
Dan ,Weaks,Political Contribution,2,250,10/20/2020,NM Hospital Association,Bill Rehm,NULL,NULL,2021 January Lobbyist Report,1/15/2021 18:23
